CampaignID,Date,Channel,Product,State,ManagerCompany,AdSpend,Impressions,Clicks,CTR,CPC,Leads,Sales,Revenue,ROAS,CAC,Objective,Status,Rating,Manager
23,2025-11-09,YouTube,Product D,TN,HDFC,120348,97314,3724,0.038,75,249,74,253820,2.11,483.33,Sales,Active,4,Ananya
24,2025-09-05,LinkedIn,Product C,TS,Deloitte,123999,7692,4184,0.544,7,383,114,218766,1.76,323.76,Awareness,Paused,3,Dev
25,2025-10-10,YouTube,Product D,WB,Accenture,76865,14693,6233,0.424,30,843,252,352548,4.59,91.18,Sales,Active,5,Nisha
26,2025-02-26,Email,Product A,DL,Reliance,116780,192366,3035,0.016,52,194,58,417368,3.57,601.96,Sales,Active,2,Tanvi
27,2025-09-23,LinkedIn,Product D,WB,EY,29261,5908,4011,0.679,29,764,229,2120769,72.48,38.3,Lead Gen,Active,2,Nisha
28,2025-09-14,LinkedIn,Product B,WB,Deloitte,97073,51382,10156,0.198,18,545,163,1124211,11.58,178.12,Lead Gen,Active,4,Tanvi
29,2025-01-19,Email,Product C,WB,Reliance,131133,15503,3186,0.206,16,403,120,850680,6.49,325.39,Sales,Paused,5,Neha
30,2025-05-03,Email,Product D,TS,Infosys,18106,11963,1926,0.161,29,129,38,202046,11.16,140.36,Lead Gen,Active,3,Yash
31,2025-10-18,Meta,Product C,DL,Accenture,113913,20548,6383,0.311,34,738,221,514267,4.51,154.35,Lead Gen,Active,1,Aditya
32,2025-05-09,Email,Product A,DL,Reliance,87641,192787,1198,0.006,83,93,27,241920,2.76,942.38,Sales,Active,3,Kabir
33,2025-07-26,Meta,Product A,WB,TCS,6811,104492,2522,0.024,55,371,111,1105005,162.24,18.36,Lead Gen,Active,5,Rahul
34,2025-03-17,LinkedIn,Product B,DL,Accenture,23183,79520,12408,0.156,46,1322,396,3699036,159.56,17.54,Lead Gen,Active,2,Dev
35,2025-02-27,Meta,Product D,TS,Accenture,149908,48199,12736,0.264,94,1329,398,2777244,18.53,112.8,Awareness,Active,5,Aisha
36,2025-04-18,Google,Product A,TS,EY,120361,178152,695,0.004,56,109,32,286560,2.38,1104.23,Awareness,Active,2,Tanvi
37,2025-08-04,Google,Product D,WB,Amazon,43002,127190,8909,0.07,12,523,156,1215240,28.26,82.22,Lead Gen,Paused,1,Karan
38,2025-06-25,YouTube,Product A,DL,Amazon,98059,140100,14078,0.1,79,809,242,665500,6.79,121.21,Awareness,Paused,5,Diya
39,2025-08-28,YouTube,Product D,MH,Deloitte,52831,92036,2455,0.027,71,358,107,139528,2.64,147.57,Lead Gen,Paused,1,Ananya
40,2025-05-09,Meta,Product C,TS,TCS,98781,155199,9132,0.059,91,1470,441,917280,9.29,67.2,Lead Gen,Active,5,Aarav
41,2025-08-29,Email,Product A,TN,Reliance,148188,26875,10866,0.404,69,1147,344,2995552,20.21,129.2,Lead Gen,Active,4,Tanvi
42,2025-06-12,Google,Product A,DL,Infosys,5379,114125,12725,0.112,99,860,258,715434,133.01,6.25,Awareness,Active,1,Vivaan
43,2025-05-06,Meta,Product C,WB,EY,139727,99330,13216,0.133,97,1385,415,1913980,13.7,100.89,Awareness,Active,1,Karan
44,2025-08-13,Email,Product D,KA,Reliance,97672,119966,13365,0.111,48,2078,623,5876759,60.17,47.0,Lead Gen,Paused,5,Aisha
45,2025-08-18,YouTube,Product A,MH,TCS,74497,170970,8347,0.049,34,1011,303,1238361,16.62,73.69,Lead Gen,Paused,2,Vivaan
46,2025-04-15,Meta,Product A,MH,Amazon,7953,49015,12850,0.262,86,1512,453,3536571,444.68,5.26,Sales,Active,2,Yash
47,2025-02-16,Meta,Product D,TS,Reliance,136161,94168,2554,0.027,86,304,91,197470,1.45,447.9,Sales,Active,5,Neha
48,2025-11-28,Email,Product A,MH,Amazon,22477,31891,6709,0.21,97,551,165,815100,36.26,40.79,Sales,Active,2,Tanvi
49,2025-11-25,LinkedIn,Product B,WB,Deloitte,145631,8513,10793,1.268,24,808,242,1144902,7.86,180.24,Awareness,Paused,3,Aditya
50,2025-03-20,Google,Product A,KA,Accenture,127909,79597,10189,0.128,78,765,229,1392778,10.89,167.2,Lead Gen,Paused,1,Tanvi
51,2025-01-05,Google,Product C,KA,Reliance,38850,25648,12777,0.498,91,2132,639,1741275,44.82,18.22,Lead Gen,Active,1,Aisha
52,2025-01-17,Meta,Product B,KA,Reliance,13019,146667,8770,0.06,24,687,206,2031366,156.03,18.95,Awareness,Paused,3,Vivaan
53,2025-10-10,YouTube,Product B,DL,HDFC,91124,84295,3227,0.038,46,260,78,181194,1.99,350.48,Lead Gen,Paused,1,Diya
54,2025-06-05,LinkedIn,Product A,TS,Infosys,106878,117763,12193,0.104,32,2081,624,5015712,46.93,51.36,Lead Gen,Active,3,Aisha
55,2025-02-27,Email,Product C,WB,Accenture,144579,142466,10820,0.076,95,1895,568,1073520,7.43,76.29,Sales,Active,2,Sneha
56,2025-09-22,Email,Product A,MH,Infosys,53481,145054,3077,0.021,23,163,48,460416,8.61,328.1,Sales,Paused,3,Aarav
57,2025-03-02,Email,Product B,KA,Deloitte,48063,19301,2975,0.154,99,402,120,199200,4.14,119.56,Lead Gen,Active,2,Diya
58,2025-03-10,LinkedIn,Product B,TS,Reliance,84378,139148,3016,0.022,82,453,135,662040,7.85,186.26,Lead Gen,Paused,2,Arjun
59,2025-06-29,Email,Product A,DL,Accenture,97035,95428,11081,0.116,86,1057,317,3101211,31.96,91.8,Sales,Paused,5,Sneha
60,2025-04-07,Email,Product C,DL,EY,134329,146532,7917,0.054,95,981,294,1130724,8.42,136.93,Lead Gen,Active,4,Aditya
61,2025-12-16,LinkedIn,Product B,MH,HDFC,115788,20604,9428,0.458,75,1600,480,2335200,20.17,72.37,Lead Gen,Paused,3,Dev
62,2025-01-25,Meta,Product C,KA,Deloitte,39062,79823,12982,0.163,48,1063,318,878316,22.49,36.75,Awareness,Active,3,Tanvi
63,2025-05-06,YouTube,Product A,TN,Amazon,105359,191593,13117,0.068,36,849,254,1457706,13.84,124.1,Awareness,Active,1,Yash
64,2025-01-18,LinkedIn,Product B,WB,Deloitte,24020,132373,588,0.004,35,40,12,12828,0.53,600.5,Awareness,Active,1,Aisha
65,2025-10-20,Google,Product A,MH,Reliance,132461,27412,4710,0.172,84,461,138,463818,3.5,287.33,Awareness,Paused,3,Aarav
66,2025-10-03,Email,Product A,TN,HDFC,47386,179508,5210,0.029,47,539,161,786968,16.61,87.91,Sales,Active,2,Aisha
67,2025-12-09,Meta,Product A,KA,TCS,120684,77002,14548,0.189,10,2195,658,891590,7.39,54.98,Awareness,Paused,1,Meera
68,2025-02-25,Email,Product B,MH,Deloitte,27566,172836,8907,0.052,74,753,225,649575,23.56,36.61,Sales,Paused,1,Aisha
69,2025-03-06,LinkedIn,Product D,TS,Deloitte,58743,128741,10555,0.082,84,1843,552,1771368,30.15,31.87,Sales,Active,3,Rohan
70,2025-04-28,Email,Product B,KA,Infosys,98998,18644,11379,0.61,100,1227,368,403328,4.07,80.68,Lead Gen,Active,5,Ishita
71,2025-10-19,Email,Product D,TN,EY,11250,54260,10994,0.203,81,614,184,1178704,104.77,18.32,Sales,Paused,1,Ishita
72,2025-01-27,Email,Product B,TN,Accenture,75754,158639,3535,0.022,39,421,126,472626,6.24,179.94,Awareness,Paused,4,Rohan
73,2025-10-01,Meta,Product A,TS,Infosys,99675,110679,3072,0.028,31,189,56,365792,3.67,527.38,Lead Gen,Active,4,Rahul
74,2025-06-15,YouTube,Product C,WB,HDFC,58293,96142,2739,0.028,20,354,106,618298,10.61,164.67,Awareness,Active,5,Tanvi
75,2025-05-20,YouTube,Product D,WB,Infosys,36199,42955,885,0.021,25,176,52,395252,10.92,205.68,Awareness,Paused,1,Yash
76,2025-07-26,Meta,Product A,WB,Amazon,94629,149325,7693,0.052,71,1376,412,2591892,27.39,68.77,Awareness,Active,5,Karan
77,2025-09-06,LinkedIn,Product C,TN,HDFC,49276,163118,12777,0.078,44,1998,599,3193269,64.8,24.66,Lead Gen,Paused,2,Meera
78,2025-09-23,LinkedIn,Product C,MH,EY,24270,18855,836,0.044,39,97,29,194068,8.0,250.21,Lead Gen,Paused,5,Tanvi
79,2025-01-24,Email,Product C,TN,Amazon,65605,91620,12373,0.135,39,853,255,596700,9.1,76.91,Sales,Paused,4,Dev
80,2025-06-30,Meta,Product C,MH,Infosys,101861,27210,12913,0.475,74,1123,336,1686048,16.55,90.7,Sales,Paused,5,Priya
81,2025-02-25,Email,Product D,TS,TCS,139189,152743,6452,0.042,14,753,225,732150,5.26,184.85,Sales,Active,4,Nisha
82,2025-06-12,YouTube,Product A,TN,Infosys,125689,128738,12620,0.098,43,1713,513,2228985,17.73,73.37,Sales,Active,3,Aarav
83,2025-07-04,Meta,Product A,TS,Amazon,135250,174220,13318,0.076,11,1109,332,1760928,13.02,121.96,Sales,Active,3,Vivaan
84,2025-04-05,LinkedIn,Product D,TS,Infosys,72821,30614,171,0.006,88,30,9,62469,0.86,2427.37,Awareness,Active,2,Ishita
85,2025-08-15,LinkedIn,Product B,TN,Accenture,23858,72436,9697,0.134,53,1763,528,5177040,216.99,13.53,Sales,Paused,5,Priya
86,2025-09-27,Email,Product D,TS,TCS,67780,164748,2311,0.014,34,421,126,1057014,15.59,161.0,Sales,Active,3,Ananya
87,2025-08-24,Email,Product C,WB,Amazon,59044,17179,13037,0.759,18,668,200,345800,5.86,88.39,Sales,Paused,2,Ishita
88,2025-01-09,LinkedIn,Product D,TN,Infosys,146191,131745,10887,0.083,84,885,265,376300,2.57,165.19,Awareness,Paused,5,Aarav
89,2025-10-10,Google,Product D,TS,TCS,37129,89957,12321,0.137,36,697,209,1589236,42.8,53.27,Awareness,Paused,4,Nisha
90,2025-02-19,YouTube,Product D,DL,Deloitte,71986,140027,14582,0.104,100,1694,508,3920744,54.47,42.49,Lead Gen,Active,4,Neha
91,2025-12-24,Meta,Product C,DL,Accenture,118948,165273,11444,0.069,8,1693,507,4482387,37.68,70.26,Lead Gen,Active,2,Kabir
92,2025-08-14,Email,Product A,WB,HDFC,111824,174868,1212,0.007,42,156,46,250424,2.24,716.82,Awareness,Active,2,Karan
93,2025-11-30,Meta,Product C,MH,TCS,23685,89196,2872,0.032,34,176,52,445276,18.8,134.57,Sales,Paused,2,Aarav
94,2025-07-06,Google,Product B,DL,Accenture,139068,103501,7419,0.072,53,937,281,2470833,17.77,148.42,Awareness,Paused,5,Arjun
95,2025-09-23,Meta,Product B,WB,Reliance,8446,154663,7531,0.049,30,1415,424,1540392,182.38,5.97,Awareness,Paused,5,Priya
96,2025-04-13,YouTube,Product B,TN,Accenture,83425,141700,659,0.005,85,95,28,264012,3.16,878.16,Lead Gen,Paused,5,Meera
97,2025-02-07,Google,Product C,DL,Deloitte,55588,27901,11752,0.421,100,1226,367,2894529,52.07,45.34,Sales,Active,5,Aditya
98,2025-06-28,LinkedIn,Product B,WB,Amazon,108489,193135,13341,0.069,40,1898,569,4296519,39.6,57.16,Awareness,Active,3,Vivaan
99,2025-05-02,Meta,Product B,KA,Reliance,100471,73167,1595,0.022,78,297,89,303401,3.02,338.29,Awareness,Paused,4,Aditya
100,2025-11-07,LinkedIn,Product D,DL,Reliance,118009,15403,3985,0.259,56,256,76,440192,3.73,460.97,Awareness,Active,1,Diya
101,2025-11-08,YouTube,Product C,DL,Infosys,131258,125974,9320,0.074,27,694,208,1687920,12.86,189.13,Sales,Active,1,Kabir
102,2025-09-24,Google,Product B,KA,TCS,93769,63364,1036,0.016,56,157,47,463091,4.94,597.25,Awareness,Paused,1,Meera
103,2025-05-23,Email,Product A,TN,Amazon,147590,158825,5350,0.034,29,616,184,1125160,7.62,239.59,Sales,Active,1,Karan
104,2025-11-23,Google,Product D,WB,Deloitte,50156,52495,5627,0.107,91,969,290,1062560,21.19,51.76,Awareness,Paused,3,Tanvi
105,2025-01-10,Google,Product D,TN,TCS,111292,75065,8968,0.119,22,1336,400,754800,6.78,83.3,Lead Gen,Paused,4,Rahul
106,2025-12-19,Google,Product A,WB,Reliance,105646,119198,10593,0.089,66,1671,501,1145286,10.84,63.22,Sales,Paused,2,Aditya
107,2025-08-11,Email,Product A,TN,Amazon,36483,23000,4497,0.196,78,711,213,420036,11.51,51.31,Awareness,Active,3,Dev
108,2025-12-29,Google,Product D,KA,Amazon,36461,37297,6878,0.184,68,712,213,266037,7.3,51.21,Sales,Active,3,Sneha
109,2025-10-17,Google,Product B,WB,Accenture,96500,45415,2962,0.065,21,470,141,785511,8.14,205.32,Awareness,Paused,1,Rohan
110,2025-04-26,Google,Product D,MH,Infosys,109528,32671,1621,0.05,91,205,61,583770,5.33,534.28,Sales,Paused,1,Meera
111,2025-09-04,LinkedIn,Product D,DL,Amazon,78365,91465,14696,0.161,55,1943,582,4037916,51.53,40.33,Sales,Active,4,Priya
112,2025-03-27,Email,Product C,TN,Deloitte,81732,28743,4701,0.164,79,631,189,531468,6.5,129.53,Awareness,Active,2,Dev
113,2025-05-06,Meta,Product D,KA,Infosys,119081,123898,3164,0.026,46,457,137,313456,2.63,260.57,Lead Gen,Paused,5,Aisha
114,2025-03-12,Google,Product B,WB,Amazon,13986,149920,7054,0.047,58,1306,391,1186685,84.85,10.71,Awareness,Paused,3,Sneha
115,2025-07-15,Google,Product C,TS,Infosys,51740,80694,1129,0.014,33,189,56,555800,10.74,273.76,Lead Gen,Active,3,Aarav
116,2025-02-11,Google,Product A,DL,HDFC,146015,167737,9911,0.059,18,1188,356,2239952,15.34,122.91,Lead Gen,Active,2,Aarav
117,2025-05-28,Google,Product C,DL,Accenture,118877,193203,4715,0.024,89,846,253,941413,7.92,140.52,Sales,Paused,3,Nisha
118,2025-09-09,Email,Product B,TS,Deloitte,55173,191010,1588,0.008,5,224,67,391414,7.09,246.31,Sales,Paused,2,Diya
119,2025-10-21,YouTube,Product A,MH,TCS,119454,194386,14035,0.072,36,2390,717,6193446,51.85,49.98,Awareness,Active,5,Meera
120,2025-08-30,YouTube,Product B,KA,Amazon,91224,145517,2002,0.014,47,127,38,197372,2.16,718.3,Sales,Active,2,Arjun
121,2025-04-10,Meta,Product D,DL,Deloitte,99243,98123,14183,0.145,29,1588,476,1223796,12.33,62.5,Lead Gen,Paused,3,Meera
122,2025-07-24,Google,Product A,DL,Accenture,59582,76348,10236,0.134,81,1650,495,3269475,54.87,36.11,Sales,Active,5,Neha
123,2025-11-04,LinkedIn,Product B,TN,Infosys,83420,132042,2538,0.019,68,151,45,85635,1.03,552.45,Awareness,Paused,5,Aditya
124,2025-12-09,LinkedIn,Product A,TN,Reliance,7892,7226,11747,1.626,85,2068,620,1897200,240.4,3.82,Sales,Paused,3,Vivaan
125,2025-05-16,YouTube,Product C,TS,Deloitte,125325,126660,501,0.004,88,90,27,142992,1.14,1392.5,Sales,Active,2,Tanvi
126,2025-01-01,Meta,Product A,DL,Reliance,110416,158661,12212,0.077,51,1271,381,3273171,29.64,86.87,Sales,Active,4,Vivaan
127,2025-02-03,Email,Product D,TS,HDFC,25036,197758,7474,0.038,88,1384,415,632045,25.25,18.09,Sales,Paused,2,Aditya
128,2025-03-26,LinkedIn,Product D,TN,HDFC,15585,16714,1757,0.105,75,210,63,302904,19.44,74.21,Lead Gen,Active,4,Vivaan
129,2025-12-28,YouTube,Product A,DL,HDFC,134205,79391,11765,0.148,93,1373,411,3064005,22.83,97.75,Sales,Paused,2,Dev
130,2025-07-08,Meta,Product A,MH,Reliance,49332,137447,10083,0.073,61,1635,490,4731930,95.92,30.17,Lead Gen,Active,4,Neha
131,2025-01-19,LinkedIn,Product C,TN,TCS,43365,19070,3879,0.203,55,333,99,964953,22.25,130.23,Awareness,Active,4,Meera
132,2025-05-20,Email,Product B,WB,EY,56260,38399,497,0.013,37,97,29,151119,2.69,580.0,Awareness,Paused,1,Tanvi
133,2025-07-03,Meta,Product C,DL,Infosys,71612,70810,2308,0.033,79,229,68,426632,5.96,312.72,Lead Gen,Active,4,Aditya
134,2025-12-07,Meta,Product A,MH,Infosys,47745,151403,8769,0.058,25,794,238,1472506,30.84,60.13,Awareness,Paused,4,Neha
135,2025-03-04,Google,Product C,KA,Reliance,85135,42116,13571,0.322,40,2583,774,3941982,46.3,32.96,Awareness,Paused,5,Ishita
136,2025-11-22,YouTube,Product C,TS,Deloitte,132428,119709,8802,0.074,34,1355,406,4006814,30.26,97.73,Sales,Paused,3,Ishita
137,2025-05-24,Email,Product C,MH,EY,18111,142497,2131,0.015,52,119,35,228585,12.62,152.19,Sales,Paused,3,Neha
138,2025-09-27,YouTube,Product C,TS,Accenture,132862,147792,2819,0.019,81,429,128,485632,3.66,309.7,Awareness,Paused,1,Kabir
139,2025-05-30,YouTube,Product B,MH,Infosys,10646,125944,8122,0.064,13,910,273,765492,71.9,11.7,Lead Gen,Active,4,Dev
140,2025-12-14,YouTube,Product B,MH,HDFC,7798,92597,12905,0.139,37,2428,728,3755024,481.54,3.21,Lead Gen,Active,5,Meera
141,2025-09-01,YouTube,Product D,TN,Accenture,16491,59083,7088,0.12,38,986,295,299130,18.14,16.73,Lead Gen,Active,3,Diya
142,2025-01-06,Meta,Product B,DL,Infosys,53849,26346,7422,0.282,53,1009,302,1752808,32.55,53.37,Sales,Active,2,Diya
143,2025-06-04,LinkedIn,Product D,TN,Infosys,30706,152311,6008,0.039,43,876,262,785738,25.59,35.05,Lead Gen,Active,1,Arjun
144,2025-03-26,LinkedIn,Product B,TN,Deloitte,61294,164038,11295,0.069,51,1758,527,2510628,40.96,34.87,Sales,Paused,2,Yash
145,2025-01-01,LinkedIn,Product B,DL,Deloitte,107407,164545,10007,0.061,89,1987,596,2249900,20.95,54.05,Lead Gen,Paused,2,Ishita
146,2025-08-18,YouTube,Product D,TN,HDFC,79250,147707,1689,0.011,29,285,85,306595,3.87,278.07,Awareness,Active,1,Nisha
147,2025-04-06,LinkedIn,Product B,MH,Accenture,95664,157481,3312,0.021,15,344,103,904752,9.46,278.09,Awareness,Paused,4,Dev
148,2025-09-07,Google,Product D,MH,EY,9857,94343,671,0.007,66,50,15,65100,6.6,197.14,Awareness,Paused,4,Arjun
149,2025-10-11,Google,Product A,WB,Infosys,50349,111392,11277,0.101,91,1101,330,1262910,25.08,45.73,Sales,Active,2,Sneha
150,2025-06-28,YouTube,Product A,TS,Accenture,126820,118001,9103,0.077,48,1181,354,3201576,25.25,107.38,Sales,Active,4,Ishita
151,2025-03-23,Google,Product C,WB,Accenture,72993,122515,12983,0.106,74,1286,385,2188725,29.99,56.76,Awareness,Active,5,Arjun
152,2025-06-01,Email,Product A,DL,EY,100190,146227,13368,0.091,70,1466,439,3514634,35.08,68.34,Awareness,Active,3,Aisha
153,2025-01-28,Email,Product C,DL,TCS,139078,44485,3033,0.068,87,224,67,134268,0.97,620.88,Lead Gen,Paused,2,Aarav
154,2025-10-03,LinkedIn,Product C,DL,TCS,58070,98414,8168,0.083,99,1490,447,1465266,25.23,38.97,Sales,Paused,5,Aditya
155,2025-08-24,Google,Product D,TS,Reliance,36976,117548,1321,0.011,10,142,42,242676,6.56,260.39,Sales,Active,1,Rohan
156,2025-04-17,Email,Product C,DL,TCS,90679,135763,4657,0.034,41,868,260,317460,3.5,104.47,Sales,Paused,3,Meera
157,2025-10-26,LinkedIn,Product D,TS,Infosys,29242,9756,8876,0.91,23,898,269,2301564,78.71,32.56,Lead Gen,Paused,1,Yash
158,2025-08-19,Email,Product B,TN,Infosys,129086,39544,5026,0.127,31,624,187,1440274,11.16,206.87,Sales,Active,2,Yash
159,2025-01-06,Google,Product B,MH,EY,8876,113860,9458,0.083,49,1726,517,4918738,554.16,5.14,Awareness,Paused,2,Neha
160,2025-08-29,YouTube,Product C,TS,TCS,12516,62725,13316,0.212,74,2126,637,4627168,369.7,5.89,Lead Gen,Active,2,Dev
161,2025-03-01,Email,Product A,MH,Reliance,81737,69879,2137,0.031,66,169,50,224450,2.75,483.65,Lead Gen,Active,2,Rohan
162,2025-08-12,Google,Product D,TS,Accenture,129104,62878,14158,0.225,100,1153,345,2650635,20.53,111.97,Lead Gen,Paused,5,Sneha
163,2025-04-07,Email,Product D,TS,Accenture,73200,188465,11726,0.062,40,2033,609,2096178,28.64,36.01,Awareness,Paused,4,Priya
164,2025-01-17,YouTube,Product D,MH,TCS,8756,174077,1935,0.011,69,334,100,871600,99.54,26.22,Sales,Paused,4,Kabir
165,2025-03-06,Meta,Product C,MH,TCS,121879,69582,14680,0.211,77,2392,717,5178174,42.49,50.95,Awareness,Paused,2,Yash
166,2025-09-12,Google,Product B,KA,TCS,149569,177572,13764,0.078,56,1147,344,3108384,20.78,130.4,Sales,Active,5,Rahul
167,2025-05-29,Email,Product C,WB,Infosys,11733,111787,8500,0.076,61,1519,455,1793610,152.87,7.72,Awareness,Active,2,Tanvi
168,2025-02-28,Google,Product D,TS,Amazon,131515,75941,4415,0.058,86,521,156,599040,4.55,252.43,Sales,Active,4,Neha
169,2025-02-14,Email,Product B,WB,Infosys,62499,70713,3195,0.045,32,197,59,246502,3.94,317.25,Awareness,Active,2,Rohan
170,2025-04-10,Meta,Product A,MH,Amazon,120022,16094,3132,0.195,36,358,107,855893,7.13,335.26,Sales,Paused,5,Aditya
171,2025-08-29,Meta,Product C,WB,Accenture,19215,31425,6445,0.205,18,1080,324,822312,42.8,17.79,Sales,Paused,1,Dev
172,2025-03-08,Email,Product C,MH,TCS,121007,87356,9487,0.109,95,1329,398,3794134,31.35,91.05,Lead Gen,Paused,4,Aisha
173,2025-04-16,YouTube,Product D,MH,EY,127818,71716,11372,0.159,30,836,250,2459500,19.24,152.89,Awareness,Paused,2,Yash
174,2025-05-03,YouTube,Product D,KA,TCS,44018,154809,10721,0.069,18,1357,407,1969473,44.74,32.44,Awareness,Active,3,Rahul
175,2025-07-29,Meta,Product C,MH,Reliance,57246,46926,2608,0.056,81,441,132,1206744,21.08,129.81,Sales,Active,1,Priya
176,2025-01-25,Google,Product B,MH,Deloitte,52041,152243,9602,0.063,88,971,291,2498817,48.02,53.6,Sales,Paused,1,Aarav
177,2025-01-19,Meta,Product C,TS,Reliance,42552,76035,5019,0.066,17,645,193,622425,14.63,65.97,Awareness,Active,3,Rohan
178,2025-01-18,Google,Product C,WB,Infosys,112252,135037,5575,0.041,61,472,141,1391952,12.4,237.82,Awareness,Paused,3,Ishita
179,2025-02-17,YouTube,Product D,WB,EY,20052,39870,14764,0.37,55,1521,456,3190176,159.1,13.18,Awareness,Active,2,Nisha
180,2025-12-14,LinkedIn,Product C,MH,HDFC,76881,26951,8727,0.324,20,854,256,478208,6.22,90.02,Lead Gen,Active,3,Rohan
181,2025-10-06,Email,Product B,MH,Infosys,147103,50355,2407,0.048,25,127,38,52212,0.35,1158.29,Lead Gen,Paused,3,Aarav
182,2025-06-27,Email,Product B,TS,TCS,43433,148679,2960,0.02,93,356,106,316198,7.28,122.0,Lead Gen,Paused,1,Kabir
183,2025-08-13,Google,Product D,TN,TCS,119372,186495,9897,0.053,9,1197,359,2217902,18.58,99.73,Lead Gen,Paused,1,Ishita
184,2025-07-04,Email,Product A,MH,Infosys,32374,125156,7028,0.056,37,1142,342,523260,16.16,28.35,Lead Gen,Paused,4,Neha
185,2025-03-30,YouTube,Product A,KA,Infosys,103107,193801,2729,0.014,25,493,147,526701,5.11,209.14,Sales,Active,5,Sneha
186,2025-12-31,Email,Product A,KA,Reliance,147461,138280,5851,0.042,70,635,190,1131450,7.67,232.22,Sales,Active,2,Sneha
187,2025-01-16,YouTube,Product C,MH,Reliance,73435,92175,9596,0.104,86,773,231,2042040,27.81,95.0,Awareness,Paused,4,Diya
188,2025-01-16,Google,Product A,TS,HDFC,103668,154554,12328,0.08,91,1265,379,3521289,33.97,81.95,Sales,Active,1,Meera
189,2025-05-31,LinkedIn,Product B,MH,Amazon,74011,69457,1097,0.016,17,87,26,190294,2.57,850.7,Sales,Paused,1,Nisha
190,2025-04-13,Email,Product B,DL,Infosys,11272,58458,3458,0.059,93,299,89,467962,41.52,37.7,Sales,Active,3,Diya
191,2025-08-19,Meta,Product D,KA,Accenture,129986,76121,11417,0.15,41,995,298,2591110,19.93,130.64,Awareness,Active,3,Meera
192,2025-03-05,Email,Product A,WB,Amazon,57091,97414,7855,0.081,49,422,126,473382,8.29,135.29,Lead Gen,Paused,4,Diya
193,2025-05-03,LinkedIn,Product B,DL,TCS,114328,153061,3710,0.024,41,299,89,388930,3.4,382.37,Sales,Paused,5,Dev
